index_label,longitude,latitude,time,d2m,t2m,skt,stl1,stl2,stl3,stl4
8175,100.5,30.5,2020-12-06 15:00:00,260.05797005011135,269.7084986927246,261.3067895365593,271.8859758931092,272.81342824141024,274.65266494246873,278.7999741587135
8176,100.5,30.5,2020-12-06 16:00:00,260.4585390874308,269.2130275366171,260.9854843986958,271.7937207119171,272.81097800954353,274.6512245582319,278.79704504679717
8177,100.5,30.5,2020-12-06 17:00:00,260.792056351112,268.8353931535914,260.77285599863905,271.7009131044903,272.80607754581007,274.6480557129107,278.79377133347896
8178,100.5,30.5,2020-12-06 18:00:00,261.11338238322264,268.4828106829531,260.66417926083227,271.60700064459417,272.80321894196555,274.6448868675896,278.78877461315113
8179,100.5,30.5,2020-12-06 19:00:00,261.6245433069324,268.1135269373898,260.5897593208124,271.51419303716733,272.7983184782321,274.6414299454211,278.7855008998329
8180,100.5,30.5,2020-12-06 20:00:00,261.82744023235733,267.7331090085432,260.56849648080674,271.4197281510365,272.7926012705431,274.6402776380316,278.7823994872157
8181,100.5,30.5,2020-12-06 21:00:00,261.93977372325776,267.2459884898982,260.7078862097328,271.32581569114035,272.78525057494295,274.6371087927105,278.7792980745984
8182,100.5,30.5,2020-12-06 22:00:00,262.01379191493635,266.96021111895976,261.7887472433546,271.2611818216824,272.7791249952761,274.63365187054194,278.77619666198115
8183,100.5,30.5,2020-12-06 23:00:00,262.06081523670866,266.7273211186171,262.0568952812039,271.1821848701227,272.77259104363156,274.63249956315246,278.7711999416533
8184,100.5,30.5,2020-12-07 00:00:00,262.1278670103469,266.5630919151882,262.9818288214507,271.1247325417156,272.764015232098,274.629042640984,278.7679262283351
8185,100.5,30.5,2020-12-07 01:00:00,262.89852700605934,267.5169202831255,265.02896780644136,271.13025680406247,272.7574812804534,274.6258737956628,278.7648248157179
8186,100.5,30.5,2020-12-07 02:00:00,263.4140419410444,269.79293291595644,270.91759321912366,271.3313399534872,272.75013058485325,274.62241687349433,278.75982809539005
8187,100.5,30.5,2020-12-07 03:00:00,263.83551023248486,272.2396696924649,274.7472669579233,271.48159988932105,272.7452301211198,274.6192480281732,278.75655438207184
8188,100.5,30.5,2020-12-07 04:00:00,262.84976207977695,274.480424078232,277.84927906097323,271.6605859893584,272.74237151727533,274.6178076439363,278.7534529694546
8189,100.5,30.5,2020-12-07 05:00:00,262.2558749418381,275.6123993787023,279.36012197026525,271.8263138597634,272.7395129134308,274.6131984143783,278.7482839484258
8190,100.5,30.5,2020-12-07 06:00:00,262.0799728863196,276.58200117295763,279.9909195571002,271.9727068119545,272.73869616947525,274.61146995329403,278.74518253580857
8191,100.5,30.5,2020-12-07 07:00:00,259.680041871423,276.90767603399456,279.99564463265705,272.10307940333973,272.7366543095863,274.60801303112555,278.7420811231913
8192,100.5,30.5,2020-12-07 08:00:00,259.00865333278534,276.48272137201474,278.41746939668036,272.179314223726,272.7366543095863,274.604556108957,278.73880740987306
8193,100.5,30.5,2020-12-07 09:00:00,258.34771442120825,275.58734746631484,276.4258500494823,272.22240347003134,272.73706268156405,274.60109918678853,278.7338106895453
8194,100.5,30.5,2020-12-07 10:00:00,258.4617895166188,274.414546827139,273.88139686213674,272.22129861756196,272.73583756563073,274.59764226462005,278.730709276928
8195,100.5,30.5,2020-12-07 11:00:00,258.79878998932014,272.8372041953361,270.87979261466916,272.1815239286648,272.73706268156405,274.59620188038315,278.72760786431076
8196,100.5,30.5,2020-12-07 12:00:00,259.4309924264809,270.8015043517034,266.8185901735855,272.088716321238,272.7362459376085,274.59245688136724,278.72433415099255
8197,100.5,30.5,2020-12-07 13:00:00,261.20220421323694,270.2772698887806,265.63141493993544,272.0273970091881,272.73420407771954,274.5910164971304,278.72123273837525
8198,100.5,30.5,2020-12-07 14:00:00,262.3037690658654,270.9258360650337,264.2516928773451,271.9495049100978,272.73175384585284,274.58755957496186,278.7162360180475
8199,100.5,30.5,2020-12-07 15:00:00,262.68779286033913,269.9822140317728,262.4904209635418,271.8533827452629,272.72930361398613,274.5841026527934,278.7129623047293
8200,100.5,30.5,2020-12-07 16:00:00,262.8558576955623,269.26962630164064,261.27017020099396,271.7544984492546,272.72848687003057,274.58035765377747,278.709860892112
8201,100.5,30.5,2020-12-07 17:00:00,262.94555032783165,268.79549566349283,260.5566837919147,271.6567190057156,272.7239947782749,274.5789172695406,278.70469187108324
8202,100.5,30.5,2020-12-07 18:00:00,263.03437215784595,268.0866193277884,260.0912638495683,271.5561774310033,272.7207278024526,274.5754603473721,278.70159045846594
8203,100.5,30.5,2020-12-07 19:00:00,262.315089495181,267.3350619561647,259.91052970952006,271.4561882825256,272.71541896674137,274.5737318862879,278.6984890458487
8204,100.5,30.5,2020-12-07 20:00:00,262.40826533647055,266.7644350628948,259.8065780472701,271.3561991340479,272.7092933870746,274.56998688727197,278.69538763323146
8205,100.5,30.5,2020-12-07 21:00:00,262.43351860186675,265.9748358983864,259.7168016116906,271.2512381494581,272.7052096672967,274.5665299651035,278.69211391991325
8206,100.5,30.5,2020-12-07 22:00:00,262.39868651166506,265.31420769024305,259.51716716941513,271.136333492644,272.69663385576314,274.5627849660876,278.68694489888446
8207,100.5,30.5,2020-12-07 23:00:00,262.2593581508583,264.7565706774704,259.52543605163953,271.0170094259524,272.68928316016303,274.5610565050033,278.68401578696813
8208,100.5,30.5,2020-12-08 00:00:00,262.02337073974184,264.14419059688805,259.6896324272389,270.88221742468966,272.68193246456286,274.55731150598746,278.6807420736499
8209,100.5,30.5,2020-12-08 01:00:00,261.08987072233646,263.9576930268925,261.9458560056187,270.84299516202714,272.67213153709594,274.55356650697155,278.6755730526212
8210,100.5,30.5,2020-12-08 02:00:00,261.01672333291293,266.94722123846253,267.3796928959575,271.47828533191296,272.66845618929585,274.5515499690399,278.6724716400039
8211,100.5,30.5,2020-12-08 03:00:00,260.86433293828054,270.42479781728457,273.4053454997875,271.6506423171341,272.664372469518,274.54780497002406,278.66937022738665
8212,100.5,30.5,2020-12-08 04:00:00,260.482921550572,273.5117501325836,277.257463347482,271.8263138597634,272.66233060962907,274.5457884320924,278.6662688147694
8213,100.5,30.5,2020-12-08 05:00:00,259.6373725609259,275.8759083830741,279.9543002215349,272.01579605825975,272.6627389816068,274.5420434330765,278.6631674021521
8214,100.5,30.5,2020-12-08 06:00:00,259.0034285192551,277.469024441195,281.4167111063695,272.1947821582972,272.66314735358463,274.5380103572133,278.6579983811234
8215,100.5,30.5,2020-12-08 07:00:00,258.32855677159733,278.4135743230629,281.8065298398069,272.35332848765125,272.66355572556245,274.53599381928166,278.65472466780517
8216,100.5,30.5,2020-12-08 08:00:00,258.06905769959474,278.2966653985881,280.742206570634,272.46933799693477,272.66478084149577,274.5319607434184,278.65162325518787
8217,100.5,30.5,2020-12-08 09:00:00,258.41999100837677,277.18324707025664,278.47298903447296,272.52900003028054,272.6664143294069,274.52994420548674,278.64645423415914
8218,100.5,30.5,2020-12-08 10:00:00,258.6342083631172,275.7460095781021,275.2658440002839,272.52347576793375,272.66845618929585,274.5259111296235,278.64335282154184
8219,100.5,30.5,2020-12-08 11:00:00,258.8327512772668,273.9060857905343,271.16684095474574,272.4494506524862,272.6704980491848,274.5236065148445,278.64007910822363
8220,100.5,30.5,2020-12-08 12:00:00,258.7796323397092,273.07658913592735,265.8227804999865,272.30140042159104,272.6709064211626,274.51957343898124,278.6369776956064
8221,100.5,30.5,2020-12-08 13:00:00,258.9703380335635,271.8212099707336,263.43307353712663,272.18815304348095,272.6717231651182,274.5175569010496,278.63198097527857
8222,100.5,30.5,2020-12-08 14:00:00,259.1610437274178,270.73933849503817,262.31441189905036,272.08705904253395,272.6709064211626,274.5135238251864,278.62870726196036
8223,100.5,30.5,2020-12-08 15:00:00,259.3412997942115,269.8773671391882,261.745040294454,271.98983202522965,272.670089677207,274.51150728725474,278.6256058493431
8224,100.5,30.5,2020-12-08 16:00:00,259.57902880983806,269.3058123973114,261.40719739214165,271.89426228662944,272.66723107336253,274.50747421139147,278.6225044367258
8225,100.5,30.5,2020-12-08 17:00:00,259.7793133284978,268.96529195856334,261.1945689920849,271.8003498267333,272.66478084149577,274.5057457503072,278.6173354156971
